Name,H,B,C,D,E,F,G
Myzornis_pyrrhoura,1,1,0,0,0,0,0
Moupinia_poecilotis,1,0,0,0,0,0,0
Lioparus_chrysotis,1,1,0,0,1,1,0
Chrysomma_sinense,1,1,0,1,0,1,0
Fulvetta_cinereiceps,1,0,0,0,1,0,0
Fulvetta_formosana,0,0,0,0,1,0,0
Fulvetta_manipurensis,1,0,0,0,0,1,0
Fulvetta_vinipectus,1,1,0,0,0,0,0
Fulvetta_ludlowi,0,1,0,0,0,0,0
Fulvetta_striaticollis,1,0,0,0,0,0,0
Fulvetta_ruficapilla,1,0,1,0,0,0,0
Rhopophilus_pekinensis,0,0,1,0,0,0,0
Rhopophilus_albosuperciliaris,0,0,1,0,0,0,0
Chleuasicus_atrosuperciliaris,1,1,0,0,0,1,0
Sinosuthora_alphonsiana,1,0,0,0,0,1,0
Sinosuthora_webbiana,1,0,1,0,1,0,0
Sinosuthora_brunnea,1,0,0,0,0,1,0
Sinosuthora_conspicillata,1,0,1,0,0,0,0
Sinosuthora_zappeyi,1,0,0,0,1,0,0
Suthora_fulvifrons,1,1,0,0,0,0,0
Suthora_nipalensis,1,1,0,0,0,1,0
Suthora_verreauxi,1,0,0,0,1,1,0
Neosuthora_davidiana,0,0,0,0,1,1,0
Chamaea_fasciata,0,0,0,0,0,0,1
Calamornis_heudei,0,0,1,0,0,0,0
Conostoma_aemodium,1,1,0,0,0,0,0
Cholornis_paradoxus,1,0,1,0,0,0,0
Cholornis_unicolor,1,1,0,0,0,0,0
Psittiparus_gularis,1,0,0,0,1,1,0
Psittiparus_bakeri,1,0,0,0,0,1,0
Psittiparus_ruficeps,0,1,0,0,0,0,0
Paradoxornis_guttaticollis,1,0,0,0,1,1,0
Paradoxornis_flavirostris,0,0,0,0,0,1,0
