Name,H,B,C,D,E,F,G
Hypocryptadius_cinnamomeus,0,0,0,0,0,1,0
Montifringilla_adamsi,1,1,1,0,0,0,0
Montifringilla_nivalis,0,0,1,0,0,0,0
Montifringilla_henrici,1,0,1,0,0,0,0
Pyrgilauda_blanfordi,1,1,1,0,0,0,0
Pyrgilauda_davidiana,0,0,1,0,0,0,0
Pyrgilauda_ruficollis,1,1,1,0,0,0,0
Onychostruthus_taczanowskii,1,1,1,0,0,0,0
Petronia_petronia,1,0,1,0,0,0,0
Passer_ammodendri,0,0,1,0,0,0,0
Passer_domesticus,1,1,1,1,0,1,0
Passer_italiae,0,0,1,0,0,0,0
Passer_insularis,0,0,1,0,0,0,0
Passer_hispaniolensis,0,0,1,0,0,0,0
Passer_flaveolus,0,0,0,0,0,1,0
Passer_iagoensis,0,0,1,0,0,0,0
Passer_luteus,0,0,1,0,0,0,0
Passer_moabiticus,0,0,1,0,0,0,0
Passer_simplex,0,0,1,0,0,0,0
Passer_montanus,1,1,1,0,1,1,0
Passer_cinnamomeus,1,1,1,0,1,1,0
Passer_diffusus,0,0,0,0,0,0,1
Passer_gongonensis,0,0,0,0,0,0,1
Passer_eminibey,0,0,0,0,0,0,1
Passer_motitensis,0,0,0,0,0,0,1
Passer_melanurus,0,0,0,0,0,0,1
Passer_griseus,0,0,0,0,0,0,1
Gymnoris_xanthocollis,0,0,1,1,0,0,0
Gymnoris_superciliaris,0,0,0,0,0,0,1
Gymnoris_dentata,0,0,0,0,0,0,1
