Name,H,B,C,D,E,F,G
Sitta_arctica,0,0,1,0,0,0,0
Sitta_neumayer,0,0,1,0,0,0,0
Sitta_tephronota,0,0,1,0,0,0,0
Sitta_cashmirensis,0,1,1,0,0,0,0
Sitta_cinnamoventris,0,1,0,0,0,1,0
Sitta_castanea,0,0,0,1,0,0,0
Sitta_neglecta,0,0,0,0,0,1,0
Sitta_nagaensis,1,0,0,0,0,1,0
Sitta_europaea,1,0,1,0,1,0,0
Sitta_himalayensis,1,1,0,0,0,1,0
Sitta_victoriae,0,0,0,0,0,1,0
Sitta_formosa,1,1,0,0,0,1,0
Sitta_azurea,0,0,0,0,0,1,0
Sitta_frontalis,1,1,0,1,1,1,0
Sitta_oenochlamys,0,0,0,0,0,1,0
Sitta_canadensis,0,0,0,0,0,0,1
Sitta_villosa,1,0,1,0,0,0,0
Sitta_whiteheadi,0,0,1,0,0,0,0
Sitta_krueperi,0,0,1,0,0,0,0
Sitta_ledanti,0,0,1,0,0,0,0
Sitta_yunnanensis,1,0,0,0,0,0,0
Sitta_pusilla,0,0,0,0,0,0,1
Sitta_pygmaea,0,0,0,0,0,0,1
Sitta_carolinensis,0,0,0,0,0,0,1
Sitta_magna,1,0,0,0,0,1,0
Sitta_przewalskii,1,0,1,0,0,0,0
Sitta_leucopsis,0,1,0,0,0,0,0
