Name,H,B,C,D,E,F,G
Dendrocitta_vagabunda,0,1,0,1,0,1,0
Dendrocitta_cinerascens,0,0,0,0,0,1,0
Dendrocitta_formosae,1,1,0,0,1,1,0
Dendrocitta_frontalis,1,1,0,0,0,1,0
Crypsirina_temia,0,0,0,0,0,1,0
Platysmurus_leucopterus,0,0,0,0,0,1,0
Temnurus_temnurus,0,0,0,0,0,1,0
Pyrrhocorax_graculus,1,1,1,0,0,0,0
Pyrrhocorax_pyrrhocorax,1,1,1,0,0,0,0
Urocissa_caerulea,0,0,0,0,1,0,0
Urocissa_erythroryncha,1,1,1,0,1,1,0
Urocissa_flavirostris,1,1,0,0,0,0,0
Cissa_chinensis,1,1,0,0,0,1,0
Cissa_jefferyi,0,0,0,0,0,1,0
Cissa_thalassina,0,0,0,0,0,1,0
Cissa_hypoleuca,0,0,0,0,1,1,0
Perisoreus_canadensis,0,0,0,0,0,0,1
Perisoreus_infaustus,0,0,1,0,0,0,0
Perisoreus_internigrans,1,0,0,0,0,0,0
Cyanopica_cyanus,1,0,1,0,0,0,0
Cyanopica_cooki,0,0,1,0,0,0,0
Coloeus_dauuricus,1,0,1,0,1,0,0
Coloeus_monedula,0,0,1,0,0,0,0
Corvus_albicollis,0,0,0,0,0,0,1
Corvus_crassirostris,0,0,0,0,0,0,1
Corvus_albus,0,0,0,0,0,0,1
Corvus_edithae,0,0,0,0,0,0,1
Corvus_ruficollis,0,0,1,0,0,0,0
Corvus_corax,1,1,1,0,0,0,1
Corvus_rhipidurus,0,0,1,0,0,0,0
Corvus_cryptoleucus,0,0,0,0,0,0,1
Corvus_frugilegus,0,0,1,0,0,0,0
Corvus_hawaiiensis,0,0,0,0,0,0,1
Corvus_brachyrhynchos,0,0,0,0,0,0,1
Corvus_corone,1,0,1,0,0,0,0
Corvus_cornix,0,0,1,0,0,0,0
Corvus_torquatus,1,0,1,0,1,1,0
Corvus_coronoides,0,0,0,0,0,0,1
Corvus_mellori,0,0,0,0,0,0,1
Corvus_tasmanicus,0,0,0,0,0,0,1
Corvus_orru,0,0,0,0,0,0,1
Corvus_bennetti,0,0,0,0,0,0,1
Corvus_insularis,0,0,0,0,0,0,1
Corvus_fuscicapillus,0,0,0,0,0,0,1
Corvus_tristis,0,0,0,0,0,0,1
Corvus_violaceus,0,0,0,0,0,0,1
Corvus_woodfordi,0,0,0,0,0,0,1
Corvus_meeki,0,0,0,0,0,0,1
Corvus_moneduloides,0,0,0,0,0,0,1
Corvus_validus,0,0,0,0,0,0,1
Corvus_enca,0,0,0,0,0,1,0
Corvus_pusillus,0,0,0,0,0,1,0
Corvus_typicus,0,0,0,0,0,1,0
Corvus_unicolor,0,0,0,0,0,1,0
Corvus_kubaryi,0,0,0,0,0,1,0
Corvus_culminatus,0,1,0,1,0,0,0
Corvus_macrorhynchos,1,1,1,1,1,1,0
Corvus_levaillantii,1,1,1,0,0,1,0
Corvus_splendens,1,1,0,1,0,0,0
Corvus_florensis,0,0,0,0,0,1,0
Corvus_ossifragus,0,0,0,0,0,0,1
Corvus_sinaloae,0,0,0,0,0,0,1
Corvus_imparatus,0,0,0,0,0,0,1
Corvus_palmarum,0,0,0,0,0,0,1
Corvus_minutus,0,0,0,0,0,0,1
Corvus_capensis,0,0,0,0,0,0,1
Corvus_jamaicensis,0,0,0,0,0,0,1
Corvus_leucognaphalus,0,0,0,0,0,0,1
Corvus_nasicus,0,0,0,0,0,0,1
Nucifraga_caryocatactes,1,1,1,0,0,0,0
Nucifraga_multipunctata,0,0,1,0,0,0,0
Nucifraga_columbiana,0,0,0,0,0,0,1
Garrulus_glandarius,1,0,1,0,0,0,0
Garrulus_lanceolatus,0,1,0,0,0,0,0
Garrulus_lidthi,0,0,1,0,0,0,0
Pica_hudsonia,0,0,0,0,0,0,1
Pica_nuttalli,0,0,0,0,0,0,1
Pica_pica,1,1,1,0,1,1,0
Pica_serica,1,0,1,0,1,1,0
Zavattariornis_stresemanni,0,0,0,0,0,0,1
Podoces_hendersoni,0,0,1,0,0,0,0
Podoces_biddulphi,0,0,1,0,0,0,0
Ptilostomus_afer,0,0,0,0,0,0,1
Cyanolyca_mirabilis,0,0,0,0,0,0,1
Cyanolyca_nanus,0,0,0,0,0,0,1
Cyanolyca_argentigula,0,0,0,0,0,0,1
Cyanolyca_pumilo,0,0,0,0,0,0,1
Cyanolyca_viridicyanus,0,0,0,0,0,0,1
Cyanolyca_turcosa,0,0,0,0,0,0,1
Cyanolyca_armillata,0,0,0,0,0,0,1
Cyanolyca_cucullata,0,0,0,0,0,0,1
Cyanolyca_pulchra,0,0,0,0,0,0,1
Cyanocorax_chrysops,0,0,0,0,0,0,1
Cyanocorax_cyanopogon,0,0,0,0,0,0,1
Cyanocorax_cayanus,0,0,0,0,0,0,1
Cyanocorax_affinis,0,0,0,0,0,0,1
Cyanocorax_heilprini,0,0,0,0,0,0,1
Cyanocorax_dickeyi,0,0,0,0,0,0,1
Cyanocorax_beecheii,0,0,0,0,0,0,1
Cyanocorax_sanblasianus,0,0,0,0,0,0,1
Cyanocorax_yucatanicus,0,0,0,0,0,0,1
Cyanocorax_melanocyaneus,0,0,0,0,0,0,1
Cyanocorax_yncas,0,0,0,0,0,0,1
Cyanocorax_mystacalis,0,0,0,0,0,0,1
Cyanocorax_cyanomelas,0,0,0,0,0,0,1
Cyanocorax_cristatellus,0,0,0,0,0,0,1
Cyanocorax_violaceus,0,0,0,0,0,0,1
Cyanocorax_caeruleus,0,0,0,0,0,0,1
Psilorhinus_morio,0,0,0,0,0,0,1
Calocitta_colliei,0,0,0,0,0,0,1
Calocitta_formosa,0,0,0,0,0,0,1
Gymnorhinus_cyanocephalus,0,0,0,0,0,0,1
Cyanocitta_cristata,0,0,0,0,0,0,1
Cyanocitta_stelleri,0,0,0,0,0,0,1
Aphelocoma_ultramarina,0,0,0,0,0,0,1
Aphelocoma_wollweberi,0,0,0,0,0,0,1
Aphelocoma_unicolor,0,0,0,0,0,0,1
Aphelocoma_woodhouseii,0,0,0,0,0,0,1
Aphelocoma_coerulescens,0,0,0,0,0,0,1
Aphelocoma_californica,0,0,0,0,0,0,1
Aphelocoma_insularis,0,0,0,0,0,0,1
