Name,H,B,C,D,E,F,G
Fringilla_polatzeki,0,0,1,0,0,0,0
Fringilla_teydea,0,0,1,0,0,0,0
Fringilla_coelebs,0,0,1,0,0,0,0
Fringilla_montifringilla,0,0,1,0,0,0,0
Chlorophonia_callophrys,0,0,0,0,0,0,1
Chlorophonia_occipitalis,0,0,0,0,0,0,1
Chlorophonia_flavirostris,0,0,0,0,0,0,1
Chlorophonia_pyrrhophrys,0,0,0,0,0,0,1
Chlorophonia_cyanea,0,0,0,0,0,0,1
Chlorophonia_cyanocephala,0,0,0,0,0,0,1
Chlorophonia_musica,0,0,0,0,0,0,1
Chlorophonia_elegantissima,0,0,0,0,0,0,1
Euphonia_anneae,0,0,0,0,0,0,1
Euphonia_xanthogaster,0,0,0,0,0,0,1
Euphonia_pectoralis,0,0,0,0,0,0,1
Euphonia_rufiventris,0,0,0,0,0,0,1
Euphonia_cayennensis,0,0,0,0,0,0,1
Euphonia_mesochrysa,0,0,0,0,0,0,1
Euphonia_fulvicrissa,0,0,0,0,0,0,1
Euphonia_gouldi,0,0,0,0,0,0,1
Euphonia_imitans,0,0,0,0,0,0,1
Euphonia_chrysopasta,0,0,0,0,0,0,1
Euphonia_hirundinacea,0,0,0,0,0,0,1
Euphonia_laniirostris,0,0,0,0,0,0,1
Euphonia_violacea,0,0,0,0,0,0,1
Euphonia_minuta,0,0,0,0,0,0,1
Euphonia_chlorotica,0,0,0,0,0,0,1
Euphonia_luteicapilla,0,0,0,0,0,0,1
Euphonia_finschi,0,0,0,0,0,0,1
Euphonia_plumbea,0,0,0,0,0,0,1
Euphonia_jamaica,0,0,0,0,0,0,1
Euphonia_affinis,0,0,0,0,0,0,1
Euphonia_godmani,0,0,0,0,0,0,1
Euphonia_saturata,0,0,0,0,0,0,1
Coccothraustes_coccothraustes,0,0,1,0,0,0,0
Eophona_personata,0,0,1,0,0,0,0
Eophona_migratoria,0,0,1,0,1,0,0
Mycerobas_affinis,1,1,0,0,0,0,0
Mycerobas_icterioides,0,1,0,0,0,0,0
Hesperiphona_vespertina,0,0,0,0,0,0,1
Mycerobas_carnipes,1,1,1,0,0,0,0
Mycerobas_melanozanthos,1,1,0,0,0,1,0
Chloris_spinoides,0,1,0,0,0,0,0
Chloris_ambigua,1,0,0,0,0,1,0
Chloris_monguilloti,0,0,0,0,0,1,0
Chloris_sinica,1,0,1,0,1,0,0
Chloris_chloris,0,0,1,0,0,0,0
Rhodospiza_obsoleta,0,0,1,0,0,0,0
Rhynchostruthus_socotranus,0,0,0,0,0,0,1
Crithagra_concolor,0,0,0,0,0,0,1
Crithagra_rufobrunnea,0,0,0,0,0,0,1
Crithagra_dorsostriata,0,0,0,0,0,0,1
Crithagra_leucopygia,0,0,0,0,0,0,1
Crithagra_citrinipectus,0,0,0,0,0,0,1
Crithagra_mozambica,0,0,0,0,0,0,1
Crithagra_citrinelloides,0,0,0,0,0,0,1
Crithagra_capistrata,0,0,0,0,0,0,1
Crithagra_tristriata,0,0,0,0,0,0,1
Crithagra_burtoni,0,0,0,0,0,0,1
Crithagra_mennelli,0,0,0,0,0,0,1
Crithagra_sulphurata,0,0,0,0,0,0,1
Crithagra_flaviventris,0,0,0,0,0,0,1
Crithagra_striolata,0,0,0,0,0,0,1
Crithagra_whytii,0,0,0,0,0,0,1
Linurgus_olivaceus,0,0,0,0,0,0,1
Serinus_alario,0,0,0,0,0,0,1
Serinus_canicollis,0,0,0,0,0,0,1
Serinus_flavivertex,0,0,0,0,0,0,1
Serinus_pusillus,0,1,1,0,0,0,0
Serinus_syriacus,0,0,1,0,0,0,0
Serinus_canaria,0,0,1,0,0,0,0
Serinus_serinus,0,0,1,0,0,0,0
Spinus_atriceps,0,0,0,0,0,0,1
Spinus_pinus,0,0,0,0,0,0,1
Spinus_spinus,0,0,1,0,0,0,0
Spinus_dominicensis,0,0,0,0,0,0,1
Spinus_crassirostris,0,0,0,0,0,0,1
