Name,H,B,C,D,E,F,G
Pteruthius_aenobarbus,0,0,0,0,0,1,0
Pteruthius_intermedius,1,0,0,0,0,1,0
Pteruthius_melanotis,1,1,0,0,0,1,0
Pteruthius_aeralatus,1,1,0,0,1,1,0
Pteruthius_flaviscapis,0,0,0,0,0,1,0
Pteruthius_rufiventer,1,1,0,0,0,1,0
Pteruthius_xanthochlorus,1,1,0,0,1,1,0
Erpornis_zantholeuca,1,1,0,0,1,1,0
Hylophilus_pectoralis,0,0,0,0,0,0,1
Hylophilus_olivaceus,0,0,0,0,0,0,1
Hylophilus_thoracicus,0,0,0,0,0,0,1
Hylophilus_semicinereus,0,0,0,0,0,0,1
Hylophilus_flavipes,0,0,0,0,0,0,1
Hylophilus_brunneiceps,0,0,0,0,0,0,1
Hylophilus_poicilotis,0,0,0,0,0,0,1
Pachysylvia_decurtata,0,0,0,0,0,0,1
Pachysylvia_muscicapina,0,0,0,0,0,0,1
Pachysylvia_hypoxantha,0,0,0,0,0,0,1
Pachysylvia_aurantiifrons,0,0,0,0,0,0,1
Pachysylvia_semibrunnea,0,0,0,0,0,0,1
Vireo_bellii,0,0,0,0,0,0,1
Vireo_osburni,0,0,0,0,0,0,1
Vireo_atricapilla,0,0,0,0,0,0,1
Vireo_brevipennis,0,0,0,0,0,0,1
Vireo_nanus,0,0,0,0,0,0,1
Vireo_latimeri,0,0,0,0,0,0,1
Vireo_modestus,0,0,0,0,0,0,1
Vireo_griseus,0,0,0,0,0,0,1
Vireo_crassirostris,0,0,0,0,0,0,1
Vireo_bairdi,0,0,0,0,0,0,1
Vireo_pallens,0,0,0,0,0,0,1
Vireo_cassinii,0,0,0,0,0,0,1
Vireo_plumbeus,0,0,0,0,0,0,1
Vireo_solitarius,0,0,0,0,0,0,1
Vireo_carmioli,0,0,0,0,0,0,1
Vireo_flavifrons,0,0,0,0,0,0,1
Vireo_huttoni,0,0,0,0,0,0,1
Vireo_vicinior,0,0,0,0,0,0,1
Vireo_altiloquus,0,0,0,0,0,0,1
Vireo_olivaceus,0,0,0,0,0,0,1
Vireo_magister,0,0,0,0,0,0,1
Vireo_flavoviridis,0,0,0,0,0,0,1
Vireo_gilvus,0,0,0,0,0,0,1
Vireo_leucophrys,0,0,0,0,0,0,1
Vireo_philadelphicus,0,0,0,0,0,0,1
Vireolanius_melitophrys,0,0,0,0,0,0,1
Vireolanius_leucotis,0,0,0,0,0,0,1
Vireolanius_eximius,0,0,0,0,0,0,1
Vireolanius_pulchellus,0,0,0,0,0,0,1
Vireo_hypochryseus,0,0,0,0,0,0,1
Tunchiornis_ochraceiceps,0,0,0,0,0,0,1
Cyclarhis_gujanensis,0,0,0,0,0,0,1
Cyclarhis_nigrirostris,0,0,0,0,0,0,1
