Name,H,B,C,D,E,F,G
Melanocichla_calva,0,0,0,0,0,1,0
Melanocichla_lugubris,0,0,0,0,0,1,0
Pomatorhinus_melanurus,0,0,0,1,0,0,0
Pomatorhinus_horsfieldii,0,0,0,1,0,0,0
Pomatorhinus_montanus,0,0,0,0,0,1,0
Pomatorhinus_schisticeps,0,1,0,0,0,1,0
Pomatorhinus_ruficollis,1,1,0,0,1,1,0
Pomatorhinus_musicus,0,0,0,0,1,0,0
Pomatorhinus_superciliaris,1,1,0,0,0,1,0
Pomatorhinus_ferruginosus,1,1,0,0,0,0,0
Pomatorhinus_ochraceiceps,0,0,0,0,0,1,0
Erythrogenys_erythrogenys,0,1,0,0,0,0,0
Erythrogenys_gravivox,1,0,1,0,1,1,0
Erythrogenys_erythrocnemis,0,0,0,0,1,0,0
Erythrogenys_swinhoei,0,0,0,0,1,0,0
Erythrogenys_hypoleucos,0,0,0,0,0,1,0
Stachyris_nigriceps,1,1,0,0,0,1,0
Stachyris_poliocephala,0,0,0,0,0,1,0
Stachyris_nonggangensis,0,0,0,0,0,1,0
Stachyris_humei,0,1,0,0,0,0,0
Stachyris_roberti,1,0,0,0,0,1,0
Stachyris_oglei,0,0,0,0,0,1,0
Stachyris_strialata,0,0,0,0,0,1,0
Stachyris_leucotis,0,0,0,0,0,1,0
Stachyris_thoracica,0,0,0,0,0,1,0
Stachyris_maculata,0,0,0,0,0,1,0
Stachyris_grammiceps,0,0,0,0,0,1,0
Stachyris_nigricollis,0,0,0,0,0,1,0
Spelaeornis_kinneari,0,0,0,0,0,1,0
Spelaeornis_oatesi,0,0,0,0,0,1,0
Spelaeornis_reptatus,1,0,0,0,0,1,0
Spelaeornis_chocolatinus,0,0,0,0,0,1,0
Spelaeornis_longicaudatus,0,0,0,0,0,1,0
Spelaeornis_caudatus,0,1,0,0,0,0,0
Spelaeornis_troglodytoides,1,1,0,0,0,0,0
Mixornis_flavicollis,0,0,0,0,0,1,0
Mixornis_gularis,1,1,0,1,0,1,0
Mixornis_bornensis,0,0,0,0,0,1,0
Dumetia_atriceps,0,0,0,1,0,0,0
Dumetia_hyperythra,0,0,0,1,0,0,0
Timalia_pileata,1,1,0,1,1,1,0
Cyanoderma_ambiguum,1,1,0,1,0,1,0
Cyanoderma_rufifrons,0,0,0,0,0,1,0
Cyanoderma_ruficeps,1,1,0,0,1,1,0
Cyanoderma_pyrrhops,0,1,0,0,0,0,0
Cyanoderma_erythropterum,0,0,0,0,0,1,0
Cyanoderma_melanothorax,0,0,0,0,0,1,0
Cyanoderma_chrysaeum,1,1,0,0,0,1,0
Macronus_striaticeps,0,0,0,0,0,1,0
Macronus_ptilosus,0,0,0,0,0,1,0
