Name,H,B,C,D,E,F,G
Illadopsis_albipectus,0,0,0,0,0,0,1
Illadopsis_cleaveri,0,0,0,0,0,0,1
Illadopsis_turdina,0,0,0,0,0,0,1
Illadopsis_puveli,0,0,0,0,0,0,1
Illadopsis_rufescens,0,0,0,0,0,0,1
Illadopsis_rufipennis,0,0,0,0,0,0,1
Illadopsis_pyrrhoptera,0,0,0,0,0,0,1
Illadopsis_fulvescens,0,0,0,0,0,0,1
Laticilla_burnesii,0,0,0,1,0,0,0
Malacocincla_abbotti,0,1,0,1,0,1,0
Malacocincla_sepiaria,0,0,0,0,0,1,0
Gypsophila_crassa,0,0,0,0,0,1,0
Gypsophila_annamensis,0,0,0,0,0,1,0
Gypsophila_calcicola,0,0,0,0,0,1,0
Gypsophila_crispifrons,0,0,0,0,0,1,0
Napothera_danjoui,0,0,0,0,0,1,0
Napothera_albostriata,0,0,0,0,0,1,0
Napothera_naungmungensis,0,0,0,0,0,1,0
Napothera_malacoptila,1,1,0,0,0,1,0
Napothera_pasquieri,0,0,0,0,0,1,0
Napothera_epilepidota,0,1,0,0,0,1,0
Ptilocichla_falcata,0,0,0,0,0,1,0
Ptilocichla_leucogrammica,0,0,0,0,0,1,0
Ptilocichla_mindanensis,0,0,0,0,0,1,0
Kenopia_striata,0,0,0,0,0,1,0
Pellorneum_malaccense,0,0,0,0,0,1,0
Pellorneum_cinereiceps,0,0,0,0,0,1,0
Pellorneum_bicolor,0,0,0,0,0,1,0
Pellorneum_rostratum,0,0,0,0,0,1,0
Pellorneum_celebense,0,0,0,0,0,1,0
Pellorneum_tickelli,1,1,0,0,0,1,0
Pellorneum_albiventre,0,1,0,0,0,1,0
Pellorneum_pyrrogenys,0,0,0,0,0,1,0
Pellorneum_buettikoferi,0,0,0,0,0,1,0
Pellorneum_ruficeps,1,1,0,1,0,1,0
Pellorneum_capistratum,0,0,0,0,0,1,0
Schoeniparus_variegaticeps,0,0,0,0,1,0,0
Schoeniparus_castaneceps,1,1,0,0,0,1,0
Schoeniparus_cinereus,1,1,0,0,0,1,0
Schoeniparus_brunneus,1,0,0,0,1,1,0
Schoeniparus_dubius,1,1,0,0,1,1,0
Schoeniparus_rufogularis,0,1,0,0,0,1,0
Gampsorhynchus_rufulus,0,1,0,0,0,1,0
Gampsorhynchus_torquatus,0,0,0,0,0,1,0
Malacopteron_affine,0,0,0,0,0,1,0
Malacopteron_albogulare,0,0,0,0,0,1,0
Malacopteron_cinereum,0,0,0,0,0,1,0
Malacopteron_magnirostre,0,0,0,0,0,1,0
Malacopteron_palawanense,0,0,0,0,0,1,0
Malacopteron_magnum,0,0,0,0,0,1,0
Turdinus_macrodactylus,0,0,0,0,0,1,0
Turdinus_atrigularis,0,0,0,0,0,1,0
Graminicola_bengalensis,0,1,0,0,0,0,0
Graminicola_striatus,0,0,0,0,0,1,0
