Name,H,B,C,D,E,F,G
Pycnonotus_barbatus,0,0,0,0,0,0,1
Pycnonotus_nigricans,0,0,0,0,0,0,1
Pycnonotus_capensis,0,0,0,0,0,0,1
Pycnonotus_tricolor,0,0,0,0,0,0,1
Pycnonotus_xanthopygos,0,0,0,0,0,0,1
Pycnonotus_leucogenys,0,1,0,0,0,0,0
Pycnonotus_leucotis,0,0,1,1,0,0,0
Pycnonotus_cafer,1,1,0,1,0,1,0
Pycnonotus_aurigaster,1,0,0,0,1,1,0
Pycnonotus_taivanus,0,0,0,0,1,0,0
Pycnonotus_sinensis,1,0,1,0,1,1,0
Pycnonotus_xanthorrhous,1,0,0,0,1,1,0
Pycnonotus_goiavier,0,0,0,0,0,1,0
Pycnonotus_jocosus,1,1,0,1,0,1,0
Pycnonotus_xantholaemus,0,0,0,1,0,0,0
Pycnonotus_penicillatus,0,0,0,1,0,0,0
Pycnonotus_flavescens,1,0,0,0,0,1,0
Pycnonotus_bimaculatus,0,0,0,0,0,1,0
Pycnonotus_brunneus,0,0,0,0,0,1,0
Pycnonotus_plumosus,0,0,0,0,0,1,0
Pycnonotus_simplex,0,0,0,0,0,1,0
Pycnonotus_pseudosimplex,0,0,0,0,0,1,0
Pycnonotus_cinereifrons,0,0,0,0,0,1,0
Pycnonotus_finlaysoni,0,0,0,0,0,1,0
Pycnonotus_zeylanicus,0,0,0,0,0,1,0
Pycnonotus_luteolus,0,0,0,1,0,0,0
Pycnonotus_conradi,0,0,0,0,0,1,0
Pycnonotus_blanfordi,0,0,0,0,0,1,0
Spizixos_semitorques,1,0,0,0,1,1,0
Spizixos_canifrons,1,1,0,0,0,1,0
Nok_hualon,0,0,0,0,0,1,0
Rubigula_flaviventris,1,1,0,1,0,1,0
Rubigula_gularis,0,0,0,1,0,0,0
Rubigula_dispar,0,0,0,0,0,1,0
Rubigula_melanictera,0,0,0,1,0,0,0
Rubigula_montis,0,0,0,0,0,1,0
Ixodia_cyaniventris,0,0,0,0,0,1,0
Ixodia_squamata,0,0,0,0,0,1,0
Ixodia_erythropthalmos,0,0,0,0,0,1,0
Euptilotus_eutilotus,0,0,0,0,0,1,0
Microtarsus_melanoleucos,0,0,0,0,0,1,0
Poliolophus_urostictus,0,0,0,0,0,1,0
Brachypodius_priocephalus,0,0,0,1,0,0,0
Tricholestes_criniger,0,0,0,0,0,1,0
Hypsipetes_borbonicus,0,0,0,0,0,0,1
Hypsipetes_madagascariensis,0,0,0,0,0,0,1
Hypsipetes_olivaceus,0,0,0,0,0,0,1
Hypsipetes_ganeesa,0,0,0,1,0,0,0
Hypsipetes_parvirostris,0,0,0,0,0,0,1
Hypsipetes_crassirostris,0,0,0,0,0,0,1
Hypsipetes_moheliensis,0,0,0,0,0,0,1
Hypsipetes_leucocephalus,1,1,0,0,1,1,0
Hypsipetes_thompsoni,0,0,0,0,0,1,0
Hypsipetes_amaurotis,0,0,1,0,0,0,0
Hypsipetes_philippinus,0,0,0,0,0,1,0
Hypsipetes_mindorensis,0,0,0,0,0,1,0
Hypsipetes_siquijorensis,0,0,0,0,0,1,0
Hypsipetes_everetti,0,0,0,0,0,1,0
Hypsipetes_rufigularis,0,0,0,0,0,1,0
Hypsipetes_guimarasensis,0,0,0,0,0,1,0
Hypsipetes_affinis,0,0,0,0,0,1,0
Ixos_malaccensis,0,0,0,0,0,1,0
Ixos_virescens,0,0,0,0,0,1,0
Ixos_mcclellandii,1,1,0,0,1,1,0
Acritillas_indica,0,0,0,1,0,0,0
Hemixos_flavala,1,1,0,0,0,1,0
Hemixos_castanonotus,0,0,0,0,1,1,0
Hemixos_cinereus,0,0,0,0,0,1,0
Hemixos_leucogrammicus,0,0,0,0,0,1,0
Alcurus_striatus,1,1,0,0,0,1,0
Iole_finschii,0,0,0,0,0,1,0
Iole_cacharensis,0,0,0,0,0,1,0
Iole_viridescens,0,0,0,0,0,1,0
Iole_propinqua,0,0,0,0,0,1,0
Iole_crypta,0,0,0,0,0,1,0
Iole_charlottae,0,0,0,0,0,1,0
Iole_palawanensis,0,0,0,0,0,1,0
Setornis_criniger,0,0,0,0,0,1,0
Alophoixus_phaeocephalus,0,0,0,0,0,1,0
Alophoixus_frater,0,0,0,0,0,1,0
Alophoixus_bres,0,0,0,0,0,1,0
Alophoixus_ochraceus,0,0,0,0,0,1,0
Alophoixus_flaveolus,1,1,0,0,0,1,0
Alophoixus_pallidus,0,0,0,0,0,1,0
