Name,H,B,C,D,E,F,G
Bradypterus_baboecala,0,0,0,0,0,0,1
Bradypterus_carpalis,0,0,0,0,0,0,1
Bradypterus_centralis,0,0,0,0,0,0,1
Bradypterus_graueri,0,0,0,0,0,0,1
Bradypterus_brunneus,0,0,0,0,0,0,1
Bradypterus_seebohmi,0,0,0,0,0,0,1
Bradypterus_sylvaticus,0,0,0,0,0,0,1
Bradypterus_bangwaensis,0,0,0,0,0,0,1
Bradypterus_cinnamomeus,0,0,0,0,0,0,1
Bradypterus_lopezi,0,0,0,0,0,0,1
Bradypterus_barratti,0,0,0,0,0,0,1
Catriscus_brevirostris,0,0,0,0,0,0,1
Megalurus_palustris,1,1,0,1,0,1,0
Elaphrornis_palliseri,0,0,0,1,0,0,0
Schoenicola_platyurus,0,0,0,1,0,0,0
Cincloramphus_cruralis,0,0,0,0,0,0,1
Cincloramphus_grosvenori,0,0,0,0,0,0,1
Cincloramphus_macrurus,0,0,0,0,0,0,1
Cincloramphus_timoriensis,0,0,0,0,0,1,1
Cincloramphus_mariae,0,0,0,0,0,0,1
Cincloramphus_rufus,0,0,0,0,0,0,1
Cincloramphus_whitneyi,0,0,0,0,0,0,1
Cincloramphus_rubiginosus,0,0,0,0,0,0,1
Cincloramphus_mathewsi,0,0,0,0,0,0,1
Malia_grata,0,0,0,0,0,0,1
Poodytes_carteri,0,0,0,0,0,0,1
Poodytes_gramineus,0,0,0,0,0,0,1
Poodytes_punctatus,0,0,0,0,0,0,1
Poodytes_rufescens,0,0,0,0,0,0,1
Helopsaltes_amnicola,0,0,1,0,0,0,0
Helopsaltes_fasciolatus,0,0,1,0,0,0,0
Helopsaltes_certhiola,0,0,1,0,0,0,0
Helopsaltes_ochotensis,0,0,1,0,0,0,0
Helopsaltes_pleskei,0,0,1,0,0,0,0
Helopsaltes_pryeri,0,0,1,0,0,0,0
Locustella_accentor,0,0,0,0,0,1,0
Locustella_castanea,0,0,0,0,0,1,0
Locustella_caudata,0,0,0,0,0,1,0
Locustella_davidi,0,0,1,0,0,0,0
Locustella_kashmirensis,0,1,0,0,0,0,0
Locustella_thoracica,1,1,0,0,0,0,0
Locustella_luteoventris,1,1,0,0,1,1,0
Locustella_major,0,1,1,0,0,0,0
Locustella_naevia,0,0,1,0,0,0,0
Locustella_tacsanowskia,1,0,1,0,0,0,0
Locustella_alfredi,0,0,0,0,0,0,1
Locustella_fluviatilis,0,0,1,0,0,0,0
Locustella_luscinioides,0,0,1,0,0,0,0
Locustella_lanceolata,0,0,1,0,0,0,0
Locustella_alishanensis,0,0,0,0,1,0,0
Locustella_chengi,1,0,0,0,1,0,0
Locustella_montis,0,0,0,0,0,1,0
Locustella_seebohmi,0,0,0,0,0,1,0
Locustella_idonea,0,0,0,0,0,1,0
Locustella_mandelli,1,1,0,0,1,1,0
Robsonius_rabori,0,0,0,0,0,1,0
Robsonius_thompsoni,0,0,0,0,0,1,0
Robsonius_sorsogonensis,0,0,0,0,0,1,0
