Name,H,B,C,D,E,F,G
Tylototriton_kweichowensis,0,0,0,0,1,0,0
Tylototriton_verrucosus,1,1,0,0,0,1,0
Tylototriton_uyenoi,0,0,0,0,0,1,0
Tylototriton_yangi,0,0,0,0,0,1,0
Tylototriton_shanjing,1,0,0,0,0,1,0
Tylototriton_taliangensis,1,0,0,0,1,0,0
Tylototriton_lizhenchangi,0,0,0,0,1,0,0
Tylototriton_wenxianensis,1,0,0,0,1,0,0
Tylototriton_panhai,0,0,0,0,0,1,0
Tylototriton_vietnamensis,0,0,0,0,0,1,0
Tylototriton_asperrimus,0,0,0,0,1,1,0
Tylototriton_notialis,0,0,0,0,0,1,0
Tylototriton_ziegleri,0,0,0,0,0,1,0
Tylototriton_hainanensis,0,0,0,0,0,1,0
