Name,H,B,C,D,E,F,G
Scutiger_boulengeri,1,1,1,0,0,0,0
Scutiger_mammatus,1,0,0,0,0,0,0
Scutiger_glandulatus,1,0,0,0,0,0,0
Scutiger_jiulongensis,1,0,0,0,0,0,0
Scutiger_liupanensis,0,0,1,0,0,0,0
Scutiger_pingwuensis,1,0,0,0,0,0,0
Scutiger_wanglangensis,1,0,0,0,0,0,0
Scutiger_muliensis,1,0,0,0,0,0,0
Scutiger_tuberculatus,1,0,0,0,0,0,0
Scutiger_chintingensis,1,0,0,0,0,0,0
Scutiger_ningshanensis,0,0,1,0,0,0,0
Scutiger_ghunsa,0,1,0,0,0,0,0
Scutiger_nepalensis,0,1,0,0,0,0,0
Scutiger_sikimmensis,0,1,0,0,0,0,0
Scutiger_occidentalis,0,1,0,0,0,0,0
Scutiger_tengchongensis,1,0,0,0,0,0,0
Scutiger_gongshanensis,1,0,0,0,0,0,0
Scutiger_nyingchiensis,1,1,0,0,0,0,0
Scutiger_spinosus,0,1,0,0,0,0,0
Scutiger_wuguanfui,0,1,0,0,0,0,0
